,a casa de,a el cielo,a el contrario,a el de,a el día,a el entrar,a el escuchar,a el fin,a el general,a el hombre,a el instante,a el joven,a el lado,a el llegar,a el menos,a el mismo,a el momento,a el mundo,a el otro,a el oído,a el oír,a el parecer,a el pasar,a el pie,a el principio,a el pueblo,a el punto,a el que,a el salir,a el señor,a el suelo,a el través,a el ver,a el y,a la cabeza,a la calle,a la casa,a la ciudad,a la de,a la hora,a la joven,a la luz,a la mesa,a la mujer,a la puerta,a la que,a la sala,a la sazón,a la señora,a la vida,a la vista,a lo que,a los dos,a los ojos,a los pies,a los que,a mí me,a que se,a su casa,a su hija,a su hijo,a su lado,a su padre,a su vez,a todos los,a un hombre,a uno de,a ver a,a y a,así es que,cada uno de,cada vez más,cada vez que,casa de el,casa de la,cerca de el,cerca de la,con la cabeza,con la mano,con la mayor,con lo que,con los ojos,con que se,con toda la,de a el,de el alma,de el amor,de el brazo,de el camino,de el campo,de el cielo,de el conde,de el corazón,de el de,de el día,de el ejército,de el general,de el gobierno,de el hombre,de el joven,de el mar,de el mismo,de el mundo,de el otro,de el padre,de el país,de el pueblo,de el que,de el señor,de el sol,de el todo,de el y,de la calle,de la casa,de la ciudad,de la de,de la familia,de la hacienda,de la iglesia,de la joven,de la madre,de la mano,de la mesa,de la misma,de la muerte,de la mujer,de la naturaleza,de la noche,de la patria,de la plaza,de la puerta,de la que,de la sala,de la señora,de la sociedad,de la tierra,de la vida,de la y,de las que,de lo que,de los dos,de los hombres,de los más,de los que,de manera que,de mi alma,de mi corazón,de mi padre,de mi vida,de oro y,de que el,de que era,de que la,de que no,de que se,de su alma,de su casa,de su corazón,de su hija,de su hijo,de su madre,de su padre,de su vida,de sus ojos,de todas las,de todos los,de un hombre,de un modo,de una manera,de una mujer,de una vez,de uno de,de y de,de y el,de y la,de y que,dijo a el,dirigiendo se a,dos o tres,día en que,el alma de,el amor de,el brazo de,el camino de,el centro de,el conde de,el corazón de,el cuarto de,el cuerpo de,el de el,el de la,el deseo de,el día de,el día en,el día que,el día siguiente,el estado de,el extremo de,el fin de,el fondo de,el hijo de,el hombre de,el hombre que,el honor de,el jefe de,el lado de,el llegar a,el mismo tiempo,el momento de,el momento en,el mundo y,el nombre de,el objeto de,el padre de,el peso de,el pie de,el punto de,el que no,el que se,el recuerdo de,el resto de,el rostro de,el ruido de,el seno de,el través de,el ver la,en aquel momento,en casa de,en el acto,en el alma,en el camino,en el campo,en el centro,en el corazón,en el fondo,en el mismo,en el momento,en el mundo,en el patio,en el pecho,en el que,en el suelo,en ese momento,en este momento,en la cabeza,en la calle,en la casa,en la ciudad,en la frente,en la mano,en la mesa,en la misma,en la noche,en la plaza,en la puerta,en la que,en la sala,en la tierra,en la vida,en lo que,en nombre de,en presencia de,en que el,en que la,en que no,en que se,en su casa,en su corazón,en sus brazos,en sus manos,en toda la,en todas partes,en todos los,en una de,en uno de,en voz baja,es lo que,es preciso que,es que no,es verdad que,ha de ser,hora en que,la a el,la bondad de,la cabeza de,la cabeza y,la calle de,la calle y,la casa de,la casa y,la causa de,la de el,la de la,la entrada de,la esperanza de,la esposa de,la familia de,la fuerza de,la hija de,la historia de,la hora de,la idea de,la llegada de,la luz de,la madre de,la mano a,la mano de,la mano y,la mayor parte,la mitad de,la muerte de,la mujer que,la noche de,la noche y,la presencia de,la primera vez,la puerta de,la puerta y,la que se,la señora de,la sombra de,la vida de,la vida y,la vista de,la voz de,lado de el,lado de la,las manos de,las palabras de,las personas que,las puertas de,le a el,le dijo a,llegar a el,llegar a la,lo mismo que,lo que es,lo que ha,lo que había,lo que le,lo que me,lo que no,lo que pasaba,lo que se,lo que yo,lo único que,los brazos de,los de el,los de la,los ojos de,los ojos y,los pies de,los que se,luz de el,mayor parte de,me parece que,momento en que,más de lo,más de una,más o menos,más que el,más que un,más y más,no es verdad,no ha de,no hay que,no puede ser,no se había,no se le,no sé qué,nombre de el,otra cosa que,para ir a,para que la,para que no,para que se,parte de el,parte de la,pero a el,por la calle,por lo mismo,por lo que,por más que,por otra parte,por primera vez,por qué no,por su parte,por todas partes,puerta de el,puerta de la,que a el,que a la,que acababa de,que el de,que en el,que en la,que en su,que era el,que era un,que es el,que es la,que es un,que había sido,que iba a,que la de,que le había,que lo que,que me ha,que no era,que no es,que no había,que no le,que no lo,que no me,que no podía,que no se,que se ha,que se había,que se habían,que se hallaba,que se le,que se les,que se llama,que se me,que si no,que va a,que ya no,que yo no,salió de la,se a el,se a la,se a los,se a su,se acercó a,se apresuró a,se con el,se con la,se de el,se de la,se de su,se dirigió a,se en el,se en la,se en su,se puso a,se puso en,se trata de,sobre la mesa,todo el mundo,todo lo que,todos los días,todos los que,un hombre de,un hombre que,un momento de,un par de,un poco de,una de esas,una de las,una de sus,una especie de,uno de ellos,uno de esos,uno de los,uno de sus,y a el,y a la,y a las,y a los,y a su,y con el,y con la,y de el,y de la,y de las,y de los,y de su,y de sus,y en el,y en la,y en las,y en los,y en su,y le dijo,y lo que,y no se,y por eso,y por la,y por qué,y que la,y que no,y que se,y se dirigió,y se puso,y si no,y sin embargo,y sobre todo,y volvió a,yo no puedo,yo no sé
nh0123,8,0,3,3,10,5,0,4,0,0,0,0,3,5,1,3,0,2,3,3,0,0,5,11,3,1,6,2,6,3,1,6,4,3,1,2,1,0,5,2,2,5,5,1,3,1,3,4,1,3,0,1,0,1,1,1,0,2,5,0,0,6,3,1,1,1,3,0,2,1,4,3,6,5,3,3,2,2,2,0,0,9,2,1,1,6,10,7,2,2,5,0,5,4,12,1,0,0,7,1,3,5,8,1,0,1,6,4,0,4,5,8,7,5,5,2,4,1,8,7,1,3,6,2,2,8,4,8,1,2,4,4,1,2,0,5,4,7,0,5,2,4,0,3,2,0,1,1,3,1,0,1,2,3,3,2,3,0,1,1,2,1,2,5,4,8,6,1,4,4,3,6,7,0,1,4,2,0,13,1,2,2,1,2,5,0,2,3,3,8,2,1,2,1,0,10,3,5,5,3,1,0,0,2,1,3,5,2,2,2,3,1,1,0,2,8,0,1,0,2,3,2,2,1,6,2,6,16,0,0,1,0,4,2,4,6,2,3,0,3,4,3,3,3,2,6,0,1,1,5,6,0,0,2,3,3,4,2,0,1,0,0,3,4,1,4,3,0,0,2,2,2,2,0,8,7,0,0,0,1,1,3,3,3,2,5,5,1,3,1,3,5,3,0,2,0,3,1,1,2,0,0,0,1,6,2,1,4,0,4,1,3,0,1,1,1,13,1,1,5,5,7,2,3,6,0,1,2,0,0,2,1,0,1,2,2,5,3,0,2,6,5,0,1,2,3,1,1,2,1,4,1,0,1,0,3,2,0,2,0,0,5,0,2,0,1,0,5,1,5,0,0,1,0,1,2,0,0,0,2,1,2,2,0,4,9,0,1,4,6,10,2,4,2,1,4,0,1,1,2,4,2,0,0,0,0,1,3,0,3,2,4,1,6,1,5,2,1,0,0,3,1,2,1,2,1,2,6,1,2,1,0,0,0,0,2,0,1,2,1,0,4,4,1,3,0,2,7,1,1,7,2,7,3,3,2,11,12,5,2,4,2,12,19,14,16,5,1,1,6,3,4,7,6,1,3,3,1,3,8,0,1,0,0,0,0,0,0,1,1,5,0,0,2,4,3,6,1,3,3
nh0124,0,7,2,0,0,1,3,14,0,4,7,8,3,3,8,17,5,2,4,1,2,10,2,13,2,0,12,15,1,2,2,6,6,0,0,3,3,0,2,0,5,2,2,0,4,9,1,0,3,1,4,6,3,6,4,5,2,2,5,3,1,3,4,2,0,1,1,0,0,0,3,3,0,1,2,3,2,1,0,1,4,3,4,1,2,12,9,3,2,1,8,1,11,5,9,0,0,1,5,13,2,1,17,3,7,1,1,20,2,3,5,3,1,13,1,0,7,1,2,7,0,1,1,2,0,9,6,12,1,0,4,14,3,4,4,3,17,5,2,11,4,3,2,2,0,9,5,4,4,3,6,3,4,5,7,20,6,12,7,3,1,8,15,2,3,3,3,2,3,3,2,2,2,0,0,1,6,4,0,2,7,6,2,0,1,1,12,4,0,5,6,1,4,1,6,2,5,3,1,9,0,2,5,1,1,4,1,16,6,6,3,13,1,8,1,13,6,3,5,0,6,0,2,6,6,0,6,0,2,7,1,0,1,3,6,3,14,11,0,2,1,1,0,1,4,4,1,0,1,6,2,4,1,2,1,2,1,13,1,3,1,0,8,8,3,22,3,8,1,2,1,1,0,4,3,1,0,2,2,1,1,3,3,3,1,3,0,2,2,2,3,11,4,2,4,0,1,5,0,7,5,9,3,2,0,1,7,1,1,0,0,1,2,1,5,1,6,0,2,3,2,6,1,1,3,2,3,1,1,2,2,8,1,3,0,4,3,1,2,3,2,2,0,2,4,1,6,0,1,7,2,6,4,2,1,5,8,1,1,2,0,4,5,1,1,3,5,0,4,10,4,3,5,0,3,0,4,3,1,2,2,7,8,3,11,2,10,2,4,3,7,2,8,5,2,3,6,0,1,2,1,3,6,11,0,6,0,4,7,3,2,3,2,3,1,9,2,3,1,9,18,2,2,3,0,1,5,0,1,10,7,2,3,2,3,1,3,3,8,7,6,9,2,1,1,1,2,6,2,6,3,2,2,2,0,0,2,0,6,5,7,1,2,6,4,7,3,2,2,1,3,2,18,10,4,2,1,2,3,3,0,0,1,0,1,0,1,0,1,3,1,1,3,1,0,0,1,2,2,1
nh0125,2,4,1,14,14,4,5,22,13,8,1,0,25,17,10,9,2,3,23,0,6,1,6,6,11,14,0,9,9,14,4,5,14,3,7,32,54,3,3,12,6,5,2,4,18,7,10,0,9,0,1,5,10,5,1,11,5,4,18,10,5,27,16,3,9,15,7,37,26,9,7,5,4,21,9,13,17,6,2,5,3,9,6,1,4,2,2,4,15,3,6,0,5,2,13,12,16,4,13,1,7,8,11,4,13,2,26,20,13,16,0,3,17,62,22,4,10,3,5,6,1,3,3,4,6,8,2,21,4,11,5,3,10,12,3,14,4,14,1,36,4,13,2,9,9,5,0,6,7,5,3,3,4,12,7,2,15,1,13,4,5,6,7,1,2,10,18,1,11,8,1,5,27,5,12,6,21,12,8,1,3,4,4,11,8,0,12,4,2,5,13,11,10,4,9,24,1,1,2,8,1,8,12,1,4,31,12,4,10,8,6,8,7,8,0,7,2,1,10,2,8,8,16,6,5,1,9,6,2,4,12,5,3,7,12,11,16,16,4,0,5,20,3,24,9,24,41,7,2,13,3,10,19,8,28,6,12,9,3,9,3,0,2,6,3,7,14,2,9,1,7,3,3,10,14,6,10,9,3,5,9,1,4,2,19,14,15,9,88,18,4,6,2,8,7,2,6,6,17,7,11,6,5,18,5,3,21,9,4,5,3,4,2,11,4,9,42,18,6,3,8,7,1,5,10,12,5,8,1,4,12,4,7,7,7,5,8,11,16,11,10,4,20,18,8,9,16,4,1,11,3,4,3,14,5,11,10,15,1,8,5,10,9,3,5,7,4,3,2,8,2,2,2,2,7,5,3,7,9,7,0,5,4,2,3,25,8,19,13,21,16,5,2,2,0,8,2,6,5,3,5,3,5,13,0,13,1,6,9,9,12,6,1,7,11,26,13,14,4,0,7,3,28,3,4,12,4,7,12,15,9,2,4,12,0,1,1,5,7,2,33,14,12,5,17,10,5,4,19,21,11,6,15,14,1,0,6,5,19,1,35,10,5,53,7,55,30,10,9,13,11,8,13,24,10,5,16,6,16,12,6,5,4,4,7,12,6,6,12,4,16,17,18,14,10,27,7,14,4,7
nh0126,2,0,2,2,2,0,0,9,0,1,0,2,10,0,11,4,0,0,2,0,0,2,0,2,0,0,0,3,0,0,0,2,1,0,1,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,2,1,0,1,4,0,1,0,0,0,0,1,0,4,1,1,0,2,0,8,0,0,3,2,0,0,0,0,1,2,0,1,1,1,1,1,1,0,1,1,0,2,2,2,0,0,0,0,3,1,2,1,1,2,6,0,6,0,7,4,2,1,9,0,3,3,1,0,0,2,0,1,2,4,2,0,3,2,0,2,2,0,0,2,3,7,8,2,13,1,6,2,6,2,0,0,2,1,0,2,3,1,4,4,1,1,0,0,1,1,2,0,0,4,7,1,0,0,1,1,1,2,2,0,1,5,4,1,0,1,1,1,2,0,0,2,2,0,4,2,1,3,0,2,1,1,0,1,3,0,1,1,1,0,11,0,4,2,1,1,1,0,0,1,2,0,1,3,0,1,0,0,1,2,0,0,2,1,2,1,2,0,0,1,0,0,3,0,1,2,0,2,1,0,1,1,0,0,1,1,0,0,0,0,0,0,7,2,4,0,0,0,1,1,5,5,0,0,1,1,0,1,2,1,0,1,0,1,2,0,0,1,2,0,0,0,0,6,1,2,1,2,1,2,0,0,0,0,3,4,1,0,2,3,0,1,0,1,3,9,0,0,1,1,0,2,0,0,0,0,3,0,2,5,5,2,1,0,0,1,2,2,1,1,0,2,2,3,3,2,3,1,2,0,1,0,1,0,1,2,1,2,0,0,3,1,2,0,1,0,1,0,2,0,0,1,0,4,0,0,1,0,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,4,0,0,0,2,4,0,1,2,0,2,1,2,0,0,0,2,2,1,5,0,2,1,3,2,6,2,5,0,1,4,0,1,2,3,1,1,0,1,3,2,2,1,0,0,0,0,5,1,0,0,0,1,0,1,1,1,0,6,10,0,5,2,1,0,0,3,1,3,2,1,1,1,16,4,5,4,0,1,1,1,3,7,9,4,3,3,3,3,4,1,0,1,0,5,3,1,2,0,4,4,2,0,0,1,0,0,0,1,0
nh0127,6,3,1,8,7,2,1,16,7,0,0,4,5,1,3,7,0,1,5,4,0,1,3,9,4,16,8,14,0,4,2,2,3,5,6,10,4,2,10,0,0,3,0,1,7,1,8,0,6,2,4,0,4,2,4,3,4,3,1,0,1,4,0,0,10,1,0,3,6,0,3,2,1,9,3,3,2,2,2,0,0,1,0,2,1,0,1,6,1,0,4,0,4,4,9,1,6,19,0,2,0,0,10,6,4,6,14,2,2,3,2,18,13,3,1,5,4,1,2,2,2,2,2,3,3,2,0,0,8,6,4,4,6,11,1,0,2,5,2,11,2,0,3,7,1,0,0,1,1,2,1,5,3,8,4,1,4,2,0,1,1,2,1,1,1,6,2,0,1,2,4,0,7,2,2,1,2,0,0,0,0,3,9,2,0,0,3,2,1,6,5,2,5,0,5,5,8,0,1,7,1,1,2,3,4,8,0,7,0,1,2,12,0,0,1,9,1,3,0,1,0,1,1,0,2,1,2,3,0,0,3,2,1,0,2,2,0,6,1,2,1,4,0,2,5,9,5,8,0,12,0,3,0,12,6,1,6,0,1,5,1,1,3,3,1,4,8,0,0,3,4,4,4,3,3,2,4,5,2,0,3,2,3,0,6,5,5,5,10,1,0,12,8,0,0,0,2,1,5,6,5,6,0,8,0,1,6,2,1,5,4,1,1,2,4,1,15,11,0,16,0,4,0,3,8,4,1,4,1,0,1,6,0,1,0,3,4,5,0,1,1,10,0,11,3,2,0,2,3,7,6,4,2,3,1,2,2,2,4,10,0,0,2,0,3,4,3,1,4,4,3,5,0,3,4,2,1,5,1,4,0,2,1,1,0,10,1,2,7,2,14,7,1,5,7,9,2,1,1,1,1,3,0,2,7,0,2,4,5,4,6,7,6,3,1,16,3,2,0,0,5,1,2,2,6,4,2,8,0,5,10,2,2,4,0,3,1,5,6,1,2,4,6,1,4,0,2,1,2,2,3,2,5,1,1,6,1,1,1,1,0,1,1,9,2,29,11,2,7,1,6,4,19,18,2,6,5,0,13,9,3,2,3,0,4,6,4,2,4,1,3,3,1,1,10,7,3,0,1,3
nh0128,0,5,0,10,6,0,13,45,0,2,3,4,3,17,3,3,6,1,4,3,23,18,2,11,1,12,0,27,4,0,5,9,25,8,8,5,2,4,1,2,10,2,0,3,8,6,0,5,0,3,5,11,3,8,2,15,4,8,4,15,1,6,6,14,4,5,9,0,3,1,7,12,2,0,3,6,3,7,2,1,3,4,3,6,5,1,2,1,3,3,7,0,5,2,5,23,1,0,2,7,1,13,2,0,0,11,15,23,0,8,1,10,0,6,28,1,4,0,0,18,0,5,0,3,17,3,2,11,1,3,0,6,0,0,1,0,4,0,1,27,7,2,4,20,32,1,2,6,2,4,7,1,6,14,16,4,2,7,6,1,1,13,1,4,1,3,7,2,1,0,11,4,2,2,1,0,5,4,0,3,0,0,0,8,6,0,6,0,4,8,5,8,1,2,5,8,1,8,30,18,1,1,3,1,6,6,15,0,3,0,3,6,10,9,1,11,2,5,5,8,8,32,1,0,9,5,14,0,10,1,0,5,4,6,16,4,1,1,0,5,0,8,0,4,5,0,1,6,7,1,0,0,1,1,0,0,0,0,2,7,5,2,4,6,8,23,2,5,1,4,4,4,1,2,0,0,10,7,2,4,0,2,2,1,12,5,0,2,5,6,16,7,8,1,10,3,2,2,4,2,1,16,0,7,0,3,10,0,6,3,21,7,3,2,5,5,9,3,2,0,1,4,3,3,14,5,2,2,8,0,6,2,0,7,3,10,10,4,19,10,14,4,4,10,2,2,4,3,1,18,5,2,4,2,7,6,0,3,3,3,1,2,5,2,1,0,8,5,4,6,8,5,0,3,4,8,7,6,14,0,1,44,2,18,11,5,1,5,0,4,21,5,5,1,5,4,6,5,6,5,2,1,6,1,2,14,4,1,7,3,12,5,4,4,7,15,7,18,4,5,9,3,0,2,10,0,5,3,3,14,6,0,8,4,7,5,3,2,3,8,5,7,1,1,1,3,1,0,5,20,1,4,2,6,2,0,2,0,14,3,3,4,1,28,7,19,10,2,6,2,6,4,6,4,1,3,3,0,4,4,2,1,2,0,4,1,8,0,3,0,4,3,2,1,4,19,7,2,2,8
nh0129,0,0,4,0,1,1,0,5,0,0,0,0,2,1,1,1,0,0,0,5,1,1,2,1,0,0,0,0,2,4,0,4,6,0,1,4,0,0,0,1,1,1,0,2,8,3,0,5,0,1,0,1,0,1,3,0,0,1,0,0,1,0,0,2,2,0,1,5,2,0,0,1,1,1,0,2,1,0,2,2,1,0,1,0,0,0,3,2,0,1,0,0,1,2,2,0,0,0,0,0,1,2,3,0,0,2,1,3,2,1,0,1,5,1,2,0,1,1,0,0,0,0,1,2,0,1,0,0,0,4,3,3,0,1,0,0,1,0,1,10,0,0,3,2,7,2,0,0,1,4,1,0,1,2,2,0,2,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,8,4,0,0,0,4,1,0,2,0,2,1,0,3,1,0,1,0,0,3,0,0,0,1,1,0,0,0,0,4,1,0,1,1,2,2,1,0,0,1,0,0,1,0,0,1,4,0,4,1,1,1,2,0,2,0,1,0,2,1,3,1,1,1,2,0,1,2,2,7,2,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,1,1,0,0,0,2,1,0,0,0,1,7,1,1,0,2,1,0,4,0,3,6,3,3,0,0,5,1,0,1,0,1,0,0,0,1,1,0,3,0,4,2,4,0,0,0,0,0,1,0,15,6,3,0,0,0,1,1,0,2,0,1,2,0,2,0,2,5,1,2,1,9,1,3,3,8,1,2,6,4,1,0,1,1,0,2,3,0,1,0,9,1,2,1,2,0,0,2,0,3,1,1,2,1,3,1,1,3,0,1,2,0,0,2,0,1,3,2,4,2,5,2,1,2,1,4,2,0,1,4,0,0,2,1,2,0,5,1,1,1,1,1,0,2,1,1,3,0,1,1,6,1,4,1,0,0,1,4,1,1,0,3,6,0,3,2,0,2,2,2,1,0,2,0,1,2,1,0,0,0,1,3,1,6,5,4,0,0,0,0,1,0,1,9,2,3,0,0,6,2,5,4,1,1,0,1,3,4,3,1,2,3,1,3,0,0,1,0,1,2,3,0,4,3,1,3,1,1,2,1,0,0,1,5,5
nh0130,2,6,1,4,10,2,0,19,0,5,0,1,17,1,9,8,1,2,6,0,0,11,1,5,6,2,5,5,4,0,2,0,2,3,5,4,8,5,2,2,1,7,1,2,11,6,2,12,2,2,3,4,1,0,2,3,1,4,1,0,0,6,0,6,1,3,1,2,5,1,1,8,5,1,3,5,0,5,2,18,1,1,1,1,4,5,4,1,5,3,13,0,4,6,9,9,1,0,5,1,2,9,4,4,1,7,1,8,2,5,7,6,9,32,15,2,8,0,3,3,2,3,0,7,5,11,15,5,3,0,1,6,5,8,1,5,12,4,0,5,1,1,6,3,0,1,0,2,0,3,1,0,1,4,1,2,1,2,1,0,2,0,1,2,6,5,4,2,3,7,1,4,2,1,3,0,5,0,11,5,0,0,1,5,3,0,9,0,2,7,6,1,1,3,5,13,0,1,1,9,1,1,3,0,3,16,0,3,4,0,2,1,1,2,1,6,8,2,4,1,4,0,7,4,0,0,3,1,0,0,3,4,3,6,7,2,4,3,9,2,4,7,0,0,3,8,7,7,5,6,0,6,1,0,4,10,15,6,1,1,0,0,4,3,3,12,5,5,7,1,2,5,1,5,7,2,4,0,0,2,0,0,3,0,1,6,8,2,6,5,2,10,12,4,0,0,4,4,2,1,2,3,0,12,4,2,0,2,12,2,1,3,3,2,0,3,16,4,3,17,9,6,3,4,0,5,7,0,1,0,2,1,1,1,2,4,3,1,2,2,0,3,1,2,0,0,4,1,1,1,1,1,1,10,9,1,2,2,2,4,0,3,1,1,3,1,3,4,1,5,1,2,0,1,2,3,3,6,2,1,0,5,7,10,1,4,5,7,6,3,6,5,1,2,4,4,0,0,1,1,3,1,2,3,3,9,0,0,2,2,1,2,0,2,0,8,4,6,1,0,4,3,1,2,0,0,0,1,3,6,6,1,1,5,1,1,4,2,3,1,7,7,9,0,3,0,1,0,0,9,0,3,1,3,1,2,5,5,12,10,16,1,6,20,2,26,20,5,7,1,9,8,13,14,8,8,1,2,12,7,1,2,1,3,3,2,0,4,2,1,1,5,3,2,3,0,4,1,0,1
nh0131,0,1,0,0,5,0,0,7,2,0,0,0,1,3,4,4,0,7,1,5,0,0,1,1,3,0,0,2,0,5,1,2,6,0,0,4,3,0,4,1,0,0,0,3,0,1,11,6,8,2,0,2,1,2,2,0,1,2,4,2,0,0,0,7,2,0,1,3,4,0,0,1,0,4,2,0,1,2,0,1,2,4,0,1,2,0,2,2,1,0,1,0,1,1,0,0,1,0,0,0,1,0,3,1,0,1,0,4,1,0,1,1,3,23,0,1,0,0,0,0,2,3,2,4,0,2,1,0,0,1,1,0,7,4,2,0,1,1,4,15,1,4,0,5,14,5,0,0,2,3,4,2,0,2,3,0,0,0,0,0,1,1,2,0,3,5,1,0,2,4,2,1,2,0,1,0,5,2,2,0,1,1,3,1,1,0,2,3,0,3,1,0,2,0,2,5,0,0,0,3,0,1,0,1,4,1,3,1,0,2,0,1,1,2,0,0,0,1,4,1,1,0,1,1,2,0,0,4,0,1,1,2,1,2,2,1,2,4,1,1,1,5,0,0,4,7,7,0,3,2,0,1,1,0,2,1,11,0,1,2,0,0,3,4,2,4,2,0,0,0,1,2,4,1,2,0,3,1,1,1,4,0,1,4,1,2,3,2,15,3,0,1,4,0,0,0,0,1,1,0,0,3,1,2,9,0,0,1,0,1,0,1,1,0,1,4,1,3,1,7,0,3,0,1,4,0,0,5,0,2,2,1,4,1,2,0,9,1,3,1,1,1,1,7,2,4,0,2,0,3,2,2,3,0,0,2,2,3,2,5,1,2,0,2,1,4,1,4,1,1,0,2,3,0,1,2,0,2,2,0,0,3,3,4,0,2,0,7,0,1,1,4,1,2,5,4,1,2,0,2,2,2,0,6,1,0,4,3,1,0,3,2,0,0,3,9,1,8,1,0,2,1,4,0,1,1,1,1,2,11,2,1,2,1,1,1,0,4,1,1,7,1,4,0,1,2,6,1,10,10,2,1,0,1,0,5,0,2,19,3,6,1,1,13,2,6,2,1,0,3,3,4,9,8,3,5,1,0,4,6,2,1,1,0,4,1,1,1,2,3,0,2,1,1,0,2,9,3,1,4
nh0132,6,2,5,1,5,1,2,16,0,3,3,7,9,1,2,4,9,2,1,0,4,2,3,4,1,0,2,10,1,0,2,2,29,0,2,2,9,1,5,1,10,0,4,0,7,3,2,0,7,2,5,3,0,0,3,10,1,2,2,7,8,3,2,0,8,2,4,1,12,3,5,5,1,4,14,0,2,0,2,10,0,2,1,8,2,3,1,3,1,1,9,0,6,6,11,0,0,0,3,14,1,3,11,1,1,0,1,12,0,0,3,16,4,22,2,2,5,0,0,11,7,0,3,2,1,0,0,7,0,0,2,12,8,8,9,1,7,7,5,20,3,3,4,7,9,2,3,1,0,3,5,1,4,15,12,5,6,8,9,5,13,6,12,5,4,5,2,0,4,1,0,1,7,3,3,3,7,1,4,4,0,6,2,0,6,1,18,1,1,5,2,6,2,2,3,3,3,3,1,1,1,2,4,7,0,9,1,4,8,2,6,10,2,0,1,4,2,5,3,0,3,2,2,1,2,5,2,10,0,1,0,0,3,10,0,2,1,16,2,3,5,2,3,2,0,6,14,2,4,6,3,6,7,1,3,1,19,0,6,1,4,1,5,6,1,16,6,8,1,2,4,3,5,3,3,0,4,7,3,6,2,1,1,3,1,2,7,1,25,3,5,3,4,1,1,12,11,4,2,6,5,2,5,0,5,0,5,0,0,1,0,1,12,2,2,1,17,2,1,3,1,2,1,4,2,1,2,2,1,3,3,2,4,2,1,2,2,0,6,4,5,2,2,4,3,4,1,4,1,10,1,3,2,1,0,2,4,2,0,7,3,5,2,1,2,7,5,2,0,3,6,0,1,5,3,4,0,1,1,2,0,0,11,1,9,2,4,2,7,5,23,2,1,2,3,6,8,4,2,2,6,4,5,4,2,8,0,1,6,5,7,3,0,1,6,8,5,7,2,1,6,3,1,0,2,0,3,3,2,3,0,1,0,2,1,0,1,2,7,4,0,1,4,1,0,1,6,1,1,10,5,7,1,1,6,1,0,11,7,0,1,3,8,11,1,18,9,3,1,10,2,4,7,18,1,3,1,0,3,8,0,1,5,4,0,5,1,3,1,5,10,1,0,1,2,5,4,3,0,2
nh0133,0,0,0,5,0,2,0,4,1,0,0,0,3,1,0,0,1,0,3,4,3,1,4,0,1,0,1,4,0,3,2,0,5,0,0,4,6,0,2,4,1,4,0,2,6,0,1,1,0,1,0,2,0,2,0,4,2,0,4,0,0,3,0,4,2,1,1,5,1,3,0,0,0,4,1,0,1,4,5,0,1,6,0,0,0,1,1,2,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,3,1,3,5,0,1,2,10,0,1,0,0,3,0,1,1,2,0,0,3,0,4,0,0,6,2,0,0,3,0,3,3,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,2,7,0,2,1,1,0,0,1,0,0,2,2,1,2,0,0,2,0,1,1,0,0,2,5,2,0,1,1,0,1,0,0,3,0,2,0,13,1,0,0,0,0,0,0,0,14,0,0,0,0,0,2,1,0,0,0,0,5,0,0,0,0,1,2,4,5,1,1,3,0,0,2,1,6,0,1,0,0,1,1,10,0,0,0,4,0,1,8,0,1,1,5,2,0,2,3,6,0,1,0,3,2,0,0,0,2,2,0,1,1,0,2,4,1,1,0,1,2,0,0,1,8,2,1,3,1,4,0,2,0,0,1,0,3,4,1,0,2,2,0,0,1,0,0,4,0,3,0,0,6,2,2,2,0,0,1,0,1,3,0,0,3,3,4,2,0,2,2,0,0,4,1,4,0,1,0,4,3,3,1,1,5,5,1,1,5,2,3,1,4,0,0,1,0,1,1,3,0,1,2,0,0,1,0,2,2,1,0,0,2,1,1,0,3,1,19,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,3,1,0,1,3,1,1,0,0,2,1,0,3,0,1,1,1,0,2,0,3,1,0,1,1,3,7,1,6,1,5,3,4,2,1,3,0,1,1,1,0,0,0,0,12,7,1,2,1,0,4,2,5,1,1,0,9,3,1,3,3,0,1,6,0,3,1,0,0,0,0,1,3,1,0,3,1,1,1,2,13,2,0,1,3,4,2,0,1,1,1,0,0,6,6,0,0,1,1,3,3,0,0,0,0,1,2,0,2,4,4,2,1,0,2
